ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap
AVGO,2023-07-12,Technology,83.100494,0.0,0.0,921.78,415.07,889.0,882.05,1056931,1.942,2138310,367768961024
ORCL,2023-07-12,Technology,64.04398,116.96,116.93,127.54,60.78,115.67,114.88,5253576,0.775,7992870,317056483328
HD,2023-07-12,Consumer Cyclical,9.2206955,320.96,320.96,347.25,265.61,316.31,313.66,1743244,0.215,3379690,325337382912
MRK,2023-07-12,Healthcare,15.921938,108.83,108.82,119.65,84.52,108.37,108.7,1762071,0.95,6894200,275692847104
CVX,2023-07-12,Energy,14.588011,158.86,158.86,189.68,132.54,159.22,158.12,2200726,1.028,5995960,301766541312
KO,2023-07-12,Consumer Defensive,-4.584801,59.96,59.95,65.47,54.02,59.75,59.52,5252878,0.809,14014980,260003250176
PEP,2023-07-12,Consumer Defensive,8.159912,0.0,0.0,196.88,160.98,183.98,183.98,1432389,0.607,5335360,253405675520
ABBV,2023-07-12,Healthcare,-10.897141,136.54,136.47,168.11,130.96,135.82,135.57,1097186,0.659,6124920,239961079808
COST,2023-07-12,Consumer Defensive,7.6022863,0.0,0.0,564.75,447.9,532.0,529.64,633239,0.511,1655180,238534803456
BAC,2023-07-12,Financial Services,-5.9014263,29.56,29.55,38.6,26.32,29.51,29.02,18969758,,,
ADBE,2023-07-12,Technology,35.704685,0.0,0.0,518.74,274.73,509.405,504.74,1297197,1.033,2522380,233917071360
MCD,2023-07-12,Consumer Cyclical,16.650177,296.64,296.51,299.1,230.58,296.83,294.74,676174,1.251,2021690,216173608960
CSCO,2023-07-12,Technology,22.060894,0.0,0.0,52.56,38.6,51.56,52.12,7657938,1.107,14264520,210821791744
CRM,2023-07-12,Technology,35.28044,223.48,223.32,225.17,126.34,221.9,221.17,3234177,0.86,4720200,225399930880
PFE,2023-07-12,Healthcare,-30.44989,36.19,36.18,54.93,35.35,36.2,36.02,6182589,0.969,24911690,205907935232
TMO,2023-07-12,Healthcare,-0.7435739,528.2,527.48,611.06,475.77,525.71,519.26,458697,0.805,1265950,204451692544
NFLX,2023-07-12,Communication Services,149.32602,0.0,0.0,450.97,169.7,444.55,440.21,2632485,1.065,5442620,196091478016
ABT,2023-07-12,Healthcare,1.2145758,107.11,107.03,115.69,93.25,108.06,107.5,1303182,1.07,4339080,186779975680
AMD,2023-07-12,Technology,43.601654,0.0,0.0,132.83,54.57,112.89,111.32,29471737,1.518,50858500,181696610304
DHR,2023-07-12,Healthcare,-5.344695,238.75,238.64,303.82,221.22,239.0,237.67,975172,1.349,2570580,175867166720
CMCSA,2023-07-12,Communication Services,5.3410172,0.0,0.0,43.72,28.39,42.23,42.01,4568294,0.55,14197240,176911155200
TMUS,2023-07-12,Communication Services,3.7800193,0.0,0.0,154.38,124.92,140.72,140.02,1115290,0.603,3584430,167768637440
